trade_id,stock_symbol,quantity,purchase_price,sale_price,purchase_date,sale_date,profit,sector,industry
1,EYESW,5068,84.65,103.25,1/4/2022,10/2/2020,18.6,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
2,WSTL,7437,652.8,229.14,2/11/2020,5/27/2021,-423.66,Public Utilities,Telecommunications Equipment
3,FFNW,9373,559.55,310.86,10/19/2022,6/13/2022,-248.69,Finance,Major Banks
4,XLNX,9165,11.81,186.63,1/5/2020,1/17/2022,174.82,Technology,Semiconductors
5,FCAP,3262,635.01,511.18,12/23/2020,7/13/2022,-123.83,Finance,Savings Institutions
6,DTUS,3232,773.11,53.63,4/10/2021,4/18/2021,-719.48,Finance,Commercial Banks
7,PJT,1732,849.01,230.51,11/2/2020,4/23/2021,-618.5,Finance,Investment Managers
8,CIVB,1157,430.41,647.46,2/27/2020,12/28/2022,217.05,Finance,Major Banks
9,NLY^D,8821,207.67,331.85,5/20/2022,12/21/2020,124.18,n/a,n/a
10,CST,3904,723.32,590.24,9/23/2021,3/18/2021,-133.08,Consumer Durables,Automotive Aftermarket
11,MCS,4565,651.18,473.8,3/31/2020,7/13/2022,-177.38,Consumer Services,Movies/Entertainment
12,SJW,8151,751.94,323.09,4/5/2022,5/12/2021,-428.85,Public Utilities,Water Supply
13,HCA,4949,937.18,658.68,11/24/2021,2/1/2020,-278.5,Health Care,Hospital/Nursing Management
14,AUPH,7187,578.69,576.64,2/23/2022,2/1/2022,-2.05,Health Care,Major Pharmaceuticals
15,NS^B,8921,238.49,808.77,5/18/2021,7/28/2022,570.28,n/a,n/a
16,C^L,82,419.89,10.58,6/12/2022,1/22/2021,-409.31,n/a,n/a
17,AGX,8798,310.66,991.0,8/14/2020,10/7/2020,680.34,Basic Industries,Engineering & Construction
18,KTOVW,7993,436.92,890.3,12/2/2020,3/16/2021,453.38,Health Care,Major Pharmaceuticals
19,AEM,9807,5.8,264.99,9/1/2022,10/25/2022,259.19,Basic Industries,Precious Metals
20,PIM,9585,53.96,871.56,12/9/2020,11/7/2021,817.6,n/a,n/a
21,CALM,1199,801.53,286.63,10/12/2020,7/24/2020,-514.9,Consumer Non-Durables,Farming/Seeds/Milling
22,AFHBL,8770,850.25,315.41,2/7/2022,12/5/2021,-534.84,Finance,Property-Casualty Insurers
23,FCE.A,7305,45.03,794.24,8/3/2021,5/27/2020,749.21,n/a,n/a
24,PSET,3313,688.3,339.14,9/9/2021,1/24/2022,-349.16,n/a,n/a
25,Y,4054,533.18,946.5,1/20/2020,10/6/2022,413.32,Finance,Property-Casualty Insurers
26,LBRDK,8098,846.43,150.03,11/9/2021,3/10/2021,-696.4,Consumer Services,Television Services
27,VTR,6362,613.12,514.32,1/9/2021,10/26/2021,-98.8,Consumer Services,Real Estate Investment Trusts
28,STLRU,3868,275.5,453.29,3/29/2020,11/30/2022,177.79,Finance,Business Services
29,CEO,3629,718.74,46.17,3/18/2022,5/18/2021,-672.57,Energy,Oil & Gas Production
30,HOTRW,2356,474.19,347.94,7/22/2021,10/19/2021,-126.25,Consumer Services,Restaurants
31,TTI,7037,256.29,502.12,4/19/2021,1/22/2022,245.83,Energy,Oil & Gas Production
32,SITO,7423,613.46,651.43,12/26/2021,3/30/2020,37.97,Miscellaneous,Business Services
33,EAE,5322,62.22,549.84,1/3/2022,1/13/2021,487.62,Public Utilities,Electric Utilities: Central
34,FKU,6799,117.08,351.13,2/4/2020,6/7/2022,234.05,n/a,n/a
35,HES,8951,149.03,531.06,3/22/2022,10/29/2021,382.03,Energy,Integrated oil Companies
36,IVAC,2496,62.8,335.69,4/11/2022,8/10/2022,272.89,Technology,Industrial Machinery/Components
37,PTY,4944,455.42,468.81,5/31/2022,1/19/2022,13.39,n/a,n/a
38,POT,3452,294.33,179.36,2/17/2020,4/23/2021,-114.97,Basic Industries,Agricultural Chemicals
39,NSP,7926,190.61,245.06,12/8/2022,9/17/2020,54.45,Technology,Professional Services
40,NPO,4209,399.66,628.69,3/16/2020,11/20/2021,229.03,Basic Industries,Metal Fabrications
41,INFI,3055,618.23,606.4,10/18/2022,11/8/2022,-11.83,Health Care,Major Pharmaceuticals
42,SONC,5256,4.06,533.76,4/28/2020,10/13/2020,529.7,Consumer Services,Restaurants
43,ZGNX,6673,918.78,948.45,5/25/2020,2/11/2021,29.67,Health Care,Major Pharmaceuticals
44,STI.WS.A,2048,453.03,579.57,1/8/2022,10/9/2021,126.54,n/a,n/a
45,PMT^A,8115,262.24,498.53,7/23/2021,4/11/2020,236.29,n/a,n/a
46,COG,7495,780.69,478.81,12/9/2021,12/19/2022,-301.88,Energy,Oil & Gas Production
47,AGND,9052,946.64,917.22,10/8/2020,1/13/2022,-29.42,n/a,n/a
48,MLNX,252,614.88,173.23,7/19/2020,8/26/2022,-441.65,Technology,Semiconductors
49,JAX,6290,86.56,3.63,5/17/2022,8/21/2021,-82.93,Consumer Services,Restaurants
50,RLJE,9501,724.24,987.18,1/8/2022,2/7/2020,262.94,Consumer Services,Movies/Entertainment
51,MBFI,4487,418.96,261.62,8/19/2022,6/19/2022,-157.34,Finance,Major Banks
